,Average,Date
130,65.92572407407407,2015-07-09
131,65.85238703703705,2015-07-10
132,65.95018333333334,2015-07-13
133,66.5447814814815,2015-07-14
134,65.86728148148148,2015-07-15
135,65.39448333333334,2015-07-16
136,64.51431481481482,2015-07-17
137,63.629900000000006,2015-07-20
138,63.473259259259265,2015-07-21
139,62.85249814814815,2015-07-22
140,62.71567407407407,2015-07-23
141,61.98376481481482,2015-07-24
142,60.602872222222224,2015-07-27
143,61.399781481481476,2015-07-28
144,62.818533333333335,2015-07-29
145,63.20146111111111,2015-07-30
146,62.402153703703696,2015-07-31
147,61.2342537037037,2015-08-03
148,61.14797962962963,2015-08-04
149,61.44238148148148,2015-08-05
150,60.79731481481481,2015-08-06
151,61.22537222222223,2015-08-07
152,61.58974259259259,2015-08-10
153,61.768514814814814,2015-08-11
154,63.03027777777778,2015-08-12
155,63.18540000000001,2015-08-13
156,62.98518888888889,2015-08-14
157,62.54277962962962,2015-08-17
158,62.67025925925926,2015-08-18
159,61.46692222222223,2015-08-19
160,60.367355555555555,2015-08-20
161,58.64881666666667,2015-08-21
162,54.66368703703703,2015-08-24
163,54.994425925925924,2015-08-25
164,54.278238888888886,2015-08-26
165,57.02787037037038,2015-08-27
166,58.90129444444444,2015-08-28
167,59.13766481481481,2015-08-31
168,58.32564444444444,2015-09-01
169,57.83776111111111,2015-09-02
170,59.04585185185186,2015-09-03
171,57.668814814814816,2015-09-04
172,58.095722222222214,2015-09-08
173,58.49666111111111,2015-09-09
174,57.371942592592596,2015-09-10
175,56.49673333333334,2015-09-11
176,56.10712777777779,2015-09-14
177,56.57920555555555,2015-09-15
178,57.97472037037038,2015-09-16
179,59.02194814814815,2015-09-17
180,57.37542407407408,2015-09-18
181,57.40270370370371,2015-09-21
182,56.80922592592592,2015-09-22
183,56.519537037037026,2015-09-23
184,55.670953703703695,2015-09-24
185,56.15509444444444,2015-09-25
186,54.49952592592594,2015-09-28
187,53.78960740740741,2015-09-29
188,54.4551537037037,2015-09-30
189,55.42944444444444,2015-10-01
190,56.02826666666666,2015-10-02
191,59.181246296296294,2015-10-05
192,60.63110925925926,2015-10-06
193,61.73888888888889,2015-10-07
194,62.591138888888885,2015-10-08
195,63.18790185185185,2015-10-09
196,62.45886666666666,2015-10-12
197,61.93770925925925,2015-10-13
198,61.724412962962965,2015-10-14
199,62.313435185185185,2015-10-15
200,63.090370370370366,2015-10-16
201,61.96036851851851,2015-10-19
202,61.71788518518518,2015-10-20
203,61.41949814814815,2015-10-21
204,61.58851666666666,2015-10-22
205,61.68453888888889,2015-10-23
206,60.995733333333334,2015-10-26
207,59.07912037037036,2015-10-27
208,60.13032037037036,2015-10-28
209,61.12901296296296,2015-10-29
210,61.34578888888888,2015-10-30
211,62.07862037037037,2015-11-02
212,64.14444444444445,2015-11-03
213,64.26818703703704,2015-11-04
214,63.78959629629631,2015-11-05
215,63.07393333333333,2015-11-06
216,63.29762777777777,2015-11-09
217,62.91847407407407,2015-11-10
218,62.11403888888889,2015-11-11
219,60.313979629629635,2015-11-12
220,59.74222777777777,2015-11-13
221,60.63490740740741,2015-11-16
222,61.13365925925926,2015-11-17
223,61.60867592592594,2015-11-18
224,61.263424074074074,2015-11-19
225,60.88576666666667,2015-11-20
226,60.775481481481485,2015-11-23
227,62.17814074074075,2015-11-24
228,62.185709259259255,2015-11-25
229,61.477405555555556,2015-11-27
230,61.665333333333336,2015-11-30
231,61.86443703703704,2015-12-01
232,60.92506481481482,2015-12-02
233,59.72509074074074,2015-12-03
234,58.33334074074073,2015-12-04
235,56.04428888888889,2015-12-07
236,55.13074814814814,2015-12-08
237,56.1556,2015-12-09
238,56.387042592592586,2015-12-10
239,54.93914629629631,2015-12-11
240,54.049720370370366,2015-12-14
241,55.45044444444446,2015-12-15
242,55.193537037037046,2015-12-16
243,53.820166666666665,2015-12-17
