,Average,Date
615,63.39801852,8/25/2016
616,63.39801852,8/26/2016
617,63.39801852,8/27/2016
618,63.39801852,8/28/2016
619,63.39801852,8/29/2016
620,63.39801852,8/30/2016
621,63.39801852,8/31/2016
622,63.39801852,9/1/2016
623,63.39801852,9/2/2016
624,63.39801852,9/3/2016
625,63.39801852,9/4/2016
626,63.39801852,9/5/2016
627,63.39801852,9/6/2016
628,63.39801852,9/7/2016
629,63.39801852,9/8/2016
630,63.39801852,9/9/2016
631,63.39801852,9/10/2016
632,63.39801852,9/11/2016
633,63.39801852,9/12/2016
634,63.39801852,9/13/2016
635,63.39801852,9/14/2016
636,63.39801852,9/15/2016
637,63.39801852,9/16/2016
638,63.39801852,9/17/2016
639,63.39801852,9/18/2016
640,63.39801852,9/19/2016
641,63.39801852,9/20/2016
642,63.39801852,9/21/2016
643,63.39801852,9/22/2016
644,63.39801852,9/23/2016
645,63.39801852,9/24/2016
646,63.39801852,9/25/2016
647,63.39801852,9/26/2016
648,63.39801852,9/27/2016
649,63.39801852,9/28/2016
650,63.39801852,9/29/2016
651,63.39801852,9/30/2016
,,
653,63.39801852,10/1/2016
654,63.39801852,10/2/2016
655,63.39801852,10/3/2016
656,63.39801852,10/4/2016
657,63.39801852,10/5/2016
658,63.39801852,10/6/2016
659,63.39801852,10/7/2016
660,63.39801852,10/8/2016
661,63.39801852,10/9/2016
662,63.39801852,10/10/2016
663,63.39801852,10/11/2016
664,63.39801852,10/12/2016
665,63.39801852,10/13/2016
666,63.39801852,10/14/2016
667,63.39801852,10/15/2016
668,63.39801852,10/16/2016
669,63.39801852,10/17/2016
670,63.39801852,10/18/2016
671,63.39801852,10/19/2016
672,63.39801852,10/20/2016
673,63.39801852,10/21/2016
674,63.39801852,10/22/2016
675,63.39801852,10/23/2016
676,63.39801852,10/24/2016
677,63.39801852,10/25/2016
678,63.39801852,10/26/2016
679,63.39801852,10/27/2016
680,63.39801852,10/28/2016
681,63.39801852,10/29/2016
682,63.39801852,10/30/2016
683,63.39801852,10/31/2016
684,63.39801852,11/1/2016
685,63.39801852,11/2/2016
686,63.39801852,11/3/2016
687,63.39801852,11/4/2016
688,63.39801852,11/5/2016
689,63.39801852,11/6/2016
690,63.39801852,11/7/2016
691,63.39801852,11/8/2016
692,63.39801852,11/9/2016
693,63.39801852,11/10/2016
694,63.39801852,11/11/2016
695,63.39801852,11/12/2016
696,63.39801852,11/13/2016
697,63.39801852,11/14/2016
698,63.39801852,11/15/2016
699,63.39801852,11/16/2016
700,63.39801852,11/17/2016
701,63.39801852,11/18/2016
702,63.39801852,11/19/2016
703,63.39801852,11/20/2016
704,63.39801852,11/21/2016
705,63.39801852,11/22/2016
706,63.39801852,11/23/2016
707,63.39801852,11/24/2016
708,63.39801852,11/25/2016
709,63.39801852,11/26/2016
710,63.39801852,11/27/2016
711,63.39801852,11/28/2016
712,63.39801852,11/29/2016
713,63.39801852,11/30/2016
,,
715,63.39801852,12/1/2016
716,63.39801852,12/2/2016
717,63.39801852,12/3/2016
718,63.39801852,12/4/2016
719,63.39801852,12/5/2016
720,63.39801852,12/6/2016
721,63.39801852,12/7/2016
722,63.39801852,12/8/2016
723,63.39801852,12/9/2016
724,63.39801852,12/10/2016
725,63.39801852,12/11/2016
726,63.39801852,12/12/2016
727,63.39801852,12/13/2016
728,63.39801852,12/14/2016
729,63.39801852,12/15/2016
730,63.39801852,12/16/2016
731,63.39801852,12/17/2016
732,63.39801852,12/18/2016
733,63.39801852,12/19/2016
734,63.39801852,12/20/2016
735,63.39801852,12/21/2016
736,63.39801852,12/22/2016
737,63.39801852,12/23/2016
738,63.39801852,12/24/2016
739,63.39801852,12/25/2016
740,63.39801852,12/26/2016
741,63.39801852,12/27/2016
742,63.39801852,12/28/2016
743,63.39801852,12/29/2016
744,63.39801852,12/30/2016
745,63.39,12/31/2016
